HOSPITAL_ID,PAYOR1,APRDRG,SEVERITY,PATS,PWC,TD,TC,XC,XD
1,1,421,1,1,1,5,18383,18383,5
1,1,421,3,10,10,41,297968,29796.8,4.1
1,1,421,4,1,1,12,99288,99288,12
1,1,422,2,4,4,14,115086,28771.5,3.5
1,1,422,3,7,7,32,240596,34370.8571,4.57
1,1,423,3,1,1,7,56599,56599,7
1,1,424,1,1,1,3,17336,17336,3
1,1,424,3,2,2,11,82121,41060.5,5.5
1,1,424,4,1,1,5,42469,42469,5
1,1,425,2,2,2,8,57135,28567.5,4
1,1,425,3,10,10,42,452912,45291.2,4.2
1,1,425,4,1,1,9,62404,62404,9
1,1,426,2,1,1,1,12379,12379,1
1,1,426,3,1,1,8,58286,58286,8
1,1,440,1,7,7,40,2113742,301963.1429,5.71
1,1,440,2,54,54,343,17266759,319754.7963,6.35
1,1,440,3,54,54,856,20112332,372450.5926,15.85
1,1,440,4,7,7,280,5543693,791956.1429,40
1,1,441,2,29,29,184,3404515,117397.069,6.34
1,1,441,3,67,67,569,9207006,137418,8.49
1,1,441,4,2,2,79,1671566,835783,39.5
1,1,442,1,28,28,77,2131278,76117.0714,2.75
1,1,442,2,27,27,92,2203122,81597.1111,3.41
1,1,442,3,22,22,171,2998607,136300.3182,7.77
1,1,442,4,9,9,141,2296910,255212.2222,15.67
1,1,443,1,8,8,20,558017,69752.125,2.5
1,1,443,2,23,23,71,1782503,77500.1304,3.09
1,1,443,3,25,25,177,3102679,124107.16,7.08
1,1,443,4,5,5,49,868486,173697.2,9.8
1,1,445,1,2,2,8,163189,81594.5,4
1,1,445,2,1,1,10,126055,126055,10
1,1,445,3,3,3,47,608862,202954,15.67
1,1,446,1,3,3,4,103142,34380.6667,1.33
1,1,446,2,3,3,11,128418,42806,3.67
1,1,446,3,1,1,5,65098,65098,5
1,1,446,4,1,1,10,86211,86211,10
1,1,447,2,5,5,17,443821,88764.2,3.4
1,1,447,3,1,1,10,154575,154575,10
1,1,447,4,2,2,20,314563,157281.5,10
1,1,461,2,1,1,1,51333,51333,1
1,1,461,3,6,6,40,297112,49518.6667,6.67
1,1,461,4,1,1,8,63219,63219,8
1,1,462,3,1,1,4,28431,28431,4
1,1,463,1,2,2,8,55308,27654,4
1,1,463,2,15,15,53,419169,27944.6,3.53
1,1,463,3,12,12,47,358314,29859.5,3.92
1,1,463,4,3,3,22,210579,70193,7.33
1,1,465,2,1,1,5,47225,47225,5
1,1,465,3,6,6,25,264263,44043.8333,4.17
1,1,466,2,9,9,37,189932,21103.5556,4.11
1,1,466,3,66,66,391,3809807,57724.3485,5.92
1,1,466,4,14,14,121,1301505,92964.6429,8.64
1,1,468,1,3,3,7,38456,12818.6667,2.33
1,1,468,2,2,2,10,55429,27714.5,5
1,1,468,3,2,2,20,139144,69572,10
1,1,469,2,11,11,52,367967,33451.5455,4.73
1,1,469,3,46,46,232,1888731,41059.3696,5.04
1,1,469,4,15,15,158,1688344,112556.2667,10.53
1,1,470,3,3,3,26,193482,64494,8.67
1,1,480,1,30,30,47,2008979,66965.9667,1.57
1,1,480,2,18,18,32,1312662,72925.6667,1.78
1,1,480,3,1,1,11,144788,144788,11
1,1,483,2,3,3,11,177869,59289.6667,3.67
1,1,484,2,22,22,23,1439534,65433.3636,1.05
1,1,484,3,5,5,7,371633,74326.6,1.4
1,1,500,3,1,1,4,61054,61054,4
1,1,510,2,3,3,3,171868,57289.3333,1
1,1,510,3,1,1,3,88778,88778,3
1,1,511,1,2,2,3,130562,65281,1.5
1,1,511,2,7,7,23,610251,87178.7143,3.29
1,1,511,3,7,7,55,970407,138629.5714,7.86
1,1,511,4,1,1,5,172699,172699,5
1,1,512,1,3,3,7,232709,77569.6667,2.33
1,1,512,2,10,10,35,915993,91599.3,3.5
1,1,512,3,2,2,9,168517,84258.5,4.5
1,1,512,4,1,1,5,131740,131740,5
1,1,513,1,5,5,8,346174,69234.8,1.6
1,1,513,2,8,8,27,582272,72784,3.38
1,1,513,3,4,4,19,382052,95513,4.75
1,1,513,4,1,1,5,101245,101245,5
1,1,514,2,1,1,2,88317,88317,2
1,1,517,2,1,1,1,20696,20696,1
1,1,518,1,2,2,5,85928,42964,2.5
1,1,518,2,5,5,13,318241,63648.2,2.6
1,1,518,3,3,3,17,257200,85733.3333,5.67
1,1,519,3,1,1,17,202872,202872,17
1,1,530,2,1,1,2,118966,118966,2
1,1,530,3,8,8,27,706860,88357.5,3.38
1,1,530,4,2,2,27,276772,138386,13.5
1,1,531,2,4,4,15,78587,19646.75,3.75
1,1,531,3,1,1,4,50970,50970,4
1,1,531,4,1,1,2,12867,12867,2
1,1,532,2,2,2,7,67474,33737,3.5
1,1,532,3,1,1,7,55071,55071,7
